Open;Close;High;Low;Volume;Date
92.36;89.55;92.73;88.27;;08/31/22
96.91;91.64;97.66;90.54;;08/30/22
93;97.01;97.37;92.29;;08/29/22
93.05;93.06;94.02;91.08;;08/26/22
95.36;92.52;95.75;92.29;;08/25/22
93.83;94.89;95.39;92.8;;08/24/22
90.44;93.74;94.22;90.41;;08/23/22
89.6;90.36;91.03;86.29;;08/22/22
90.4;90.44;92.11;88.32;;08/19/22
87.24;90.5;91.46;87.23;;08/18/22
87.13;88.11;89.15;85.88;;08/17/22
87.8;86.53;90.64;85.74;;08/16/22
91.89;89.41;92.12;86.83;;08/15/22
93.98;92.09;94.81;91.15;;08/12/22
91.6;94.34;95.06;91.25;;08/11/22
90.5;91.93;92.42;87.65;;08/10/22
90.57;90.5;92.65;89.05;;08/09/22
88.73;90.76;90.9;87.23;;08/08/22
87.94;89.01;90.76;87.02;;08/05/22
91;88.54;91.89;87.56;;08/04/22
93.88;90.66;96.56;90.38;;08/03/22
94;94.42;96.48;92.6;;08/02/22
98.38;93.89;98.68;92.42;;08/01/22
97.03;98.62;101.88;96.4;;07/29/22
98.03;96.42;99.83;96.04;;07/28/22
95.61;97.26;98.59;94.3;;07/27/22
96.21;94.98;99;94.76;;07/26/22
95.06;96.7;96.94;93.01;;07/25/22
96.55;94.7;97.96;94.24;;07/22/22
99.88;96.35;100.02;94.57;;07/21/22
0;99.88;100.72;98.16;;07/20/22
102.41;104.22;104.3;99.82;;07/19/22
97.5;102.6;102.8;95.85;;07/18/22
96.17;97.59;99.02;94.58;;07/15/22
96.42;95.78;96.99;90.56;;07/14/22
95.78;96.3;97.97;93.57;;07/13/22
103.61;95.84;103.61;95.33;;07/12/22
104.78;104.09;105.04;100.88;;07/11/22
102.31;104.79;105.26;101.51;;07/08/22
98.21;102.73;104.5;96.58;;07/07/22
100.03;98.53;102.14;95.11;;07/06/22
108.67;99.5;111.44;97.43;;07/05/22
105.94;108.43;109.34;104.54;;07/01/22
109.7;105.76;110.46;105.1;;06/30/22
111.81;109.78;114.07;109.2;;06/29/22
110;111.76;112.21;109.62;;06/28/22
107.05;109.57;110.54;105.6;;06/27/22
103.97;107.62;108.57;103.63;;06/24/22
104.42;104.27;107.05;102.33;;06/23/22
109.68;106.19;109.73;101.54;;06/22/22
108.73;109.52;111.16;106.81;;06/21/22
117.04;107.99;118.93;108.41;;06/17/22
115.85;117.59;118.1;112.33;;06/16/22
119;115.31;119.6;114.59;;06/15/22
121.04;118.93;123.68;116.65;;06/14/22
120.65;120.93;122.23;117.47;;06/13/22
121.41;120.67;122.76;118.33;;06/10/22
122.51;121.51;122.72;120.79;;06/09/22
119.74;122.11;123.18;119.28;;06/08/22
119.25;119.41;120.35;117.15;;06/07/22
120.49;118.5;121;117.64;;06/06/22
117.52;118.87;120.49;115.25;;06/03/22
114.51;116.87;117.76;111.21;;06/02/22
115.3;115.26;117.86;114.59;;06/01/22
115.15;114.67;119.98;114.16;;05/31/22
114.36;115.07;115.29;112.86;;05/27/22
110.65;114.09;114.82;110.27;;05/26/22
110.43;110.33;111.68;109.24;;05/25/22
110.51;109.77;111.42;108.61;;05/24/22
110.45;110.29;111.97;109.13;;05/23/22
0;110.28;111.04;0;;05/20/22
109.52;112.21;112.41;105.01;;05/19/22
113.65;109.59;115.42;108.47;;05/18/22
113.9;112.4;115.56;111.75;;05/17/22
110.49;114.2;114.89;108.27;;05/16/22
106.74;110.49;110.64;106.3;;05/13/22
105.59;106.13;107.36;102.67;;05/12/22
99.26;105.71;106.43;98.22;;05/11/22
102.7;99.76;104.15;98.87;;05/10/22
110.55;103.09;110.61;102.13;;05/09/22
108.63;109.77;111.17;107.23;;05/06/22
107.6;108.26;111.36;106.45;;05/05/22
103.55;107.81;108.63;102.94;;05/04/22
105.17;102.41;105.8;102.11;;05/03/22
104.44;105.17;105.92;100.25;;05/02/22
105.14;104.69;107.98;103.78;;04/29/22
102.02;105.36;105.68;100.1;;04/28/22
101.64;102.02;102.99;99.77;;04/27/22
98.68;101.7;102.77;97.07;;04/26/22
101.46;98.54;101.65;95.25;;04/25/22
103.95;102.07;104.2;101.06;;04/22/22
102.66;103.79;105.42;102;;04/21/22
0;102.19;103.96;99.88;;04/20/22
107.84;102.56;108.87;102.08;;04/19/22
106.83;108.21;109.79;106;;04/18/22
104.14;106.95;107.64;102.13;;04/14/22
100.96;104.25;104.47;99.88;;04/13/22
95.21;100.6;101.34;94.85;;04/12/22
